,OBS_126_L0
2018-09-20 00:00:00.000000,0.33
2018-09-20 00:15:00.000003,0.003698809416352698
2018-09-20 00:29:59.999997,0.004132291346804266
2018-09-20 00:45:00.000000,0.003744630248885854
2018-09-20 01:00:00.000003,0.004253784724475087
2018-09-20 01:14:59.999997,0.004329477305371456
2018-09-20 01:30:00.000000,0.004400805315944664
2018-09-20 01:45:00.000003,0.004763922151763245
2018-09-20 01:59:59.999997,0.004655048585446162
2018-09-20 02:15:00.000000,0.005133133174703808
2018-09-20 02:30:00.000003,0.00476002623730738
2018-09-20 02:44:59.999997,0.003075933870564147
2018-09-20 03:00:00.000000,-0.003936448906382165
2018-09-20 03:15:00.000003,-0.01342473113255449
2018-09-20 03:29:59.999997,-0.02729504610541762
2018-09-20 03:45:00.000000,-0.04204805668664027
2018-09-20 04:00:00.000003,-0.05392369317065483
2018-09-20 04:14:59.999997,-0.06690758288816308
2018-09-20 04:30:00.000000,-0.07658859944667733
2018-09-20 04:45:00.000003,-0.08665921941451056
2018-09-20 04:59:59.999997,-0.09436081706525709
2018-09-20 05:15:00.000000,-0.1021121324903266
2018-09-20 05:30:00.000003,-0.1099684992311121
2018-09-20 05:44:59.999997,-0.1151356778429312
2018-09-20 06:00:00.000000,-0.1213405049730449
2018-09-20 06:15:00.000003,-0.1249097112987743
2018-09-20 06:29:59.999997,-0.1296420505143071
2018-09-20 06:45:00.000000,-0.1319735070419404
2018-09-20 07:00:00.000003,-0.1329774936228725
2018-09-20 07:14:59.999997,-0.1329924480297749
2018-09-20 07:30:00.000000,-0.1294396650193691
2018-09-20 07:45:00.000003,-0.1208726499036717
2018-09-20 07:59:59.999997,-0.1085873153725073
2018-09-20 08:15:00.000000,-0.09325384809858411
2018-09-20 08:30:00.000003,-0.07598348462711839
2018-09-20 08:44:59.999997,-0.05740901670017389
2018-09-20 09:00:00.000000,-0.0392312786715663
2018-09-20 09:15:00.000003,-0.02090210069059914
2018-09-20 09:29:59.999997,-0.002515027364377831
2018-09-20 09:45:00.000000,0.01806529850509199
2018-09-20 10:00:00.000003,0.03817072604057523
2018-09-20 10:14:59.999997,0.05850611223994086
2018-09-20 10:30:00.000000,0.07818765158877992
2018-09-20 10:45:00.000003,0.09697547807883693
2018-09-20 10:59:59.999997,0.1151213337228601
2018-09-20 11:15:00.000000,0.1329299738326712
2018-09-20 11:30:00.000003,0.1499094471778906
2018-09-20 11:44:59.999997,0.1645112055845041
2018-09-20 12:00:00.000000,0.1797434938280379
2018-09-20 12:15:00.000003,0.1890169283008998
2018-09-20 12:29:59.999997,0.1954554658998795
2018-09-20 12:45:00.000000,0.1936385377115973
2018-09-20 13:00:00.000003,0.1927667238046899
2018-09-20 13:14:59.999997,0.1833700819210891
2018-09-20 13:30:00.000000,0.1731980110564005
2018-09-20 13:45:00.000003,0.1573794529354504
2018-09-20 13:59:59.999997,0.1385999756316125
2018-09-20 14:15:00.000000,0.116691011981871
2018-09-20 14:30:00.000003,0.0926142722827166
2018-09-20 14:44:59.999997,0.06782032217524021
2018-09-20 15:00:00.000000,0.04322499441472469
2018-09-20 15:15:00.000003,0.01865440750302154
2018-09-20 15:29:59.999997,-0.005087963420031697
2018-09-20 15:45:00.000000,-0.02841088373456273
2018-09-20 16:00:00.000003,-0.05201918733738648
2018-09-20 16:14:59.999997,-0.07572139844555913
2018-09-20 16:30:00.000000,-0.1004897043132184
2018-09-20 16:45:00.000003,-0.1255349768401969
2018-09-20 16:59:59.999997,-0.1508224690882805
2018-09-20 17:15:00.000000,-0.1753606716709286
2018-09-20 17:30:00.000003,-0.1980088334084417
2018-09-20 17:44:59.999997,-0.2186449937382
2018-09-20 18:00:00.000000,-0.2362678753440541
2018-09-20 18:15:00.000003,-0.2509546567548486
2018-09-20 18:29:59.999997,-0.261642106853313
2018-09-20 18:45:00.000000,-0.2678920046338514
2018-09-20 19:00:00.000003,-0.268568712870529
2018-09-20 19:14:59.999997,-0.2639317301740824
2018-09-20 19:30:00.000000,-0.2539550039179225
2018-09-20 19:45:00.000003,-0.2390843709953877
2018-09-20 19:59:59.999997,-0.2203167392758802
2018-09-20 20:15:00.000000,-0.1994641717768667
2018-09-20 20:30:00.000003,-0.1762483814208798
2018-09-20 20:44:59.999997,-0.1517272840158825
2018-09-20 21:00:00.000000,-0.1264000466083248
2018-09-20 21:15:00.000003,-0.09782967027929944
2018-09-20 21:29:59.999997,-0.06960976992618324
2018-09-20 21:45:00.000000,-0.03956145032888058
2018-09-20 22:00:00.000003,-0.009110283536192238
2018-09-20 22:14:59.999997,0.0223670350832678
2018-09-20 22:30:00.000000,0.05473221096050567
2018-09-20 22:45:00.000003,0.0866616234013306
2018-09-20 22:59:59.999997,0.1194702011552709
2018-09-20 23:15:00.000000,0.1494501105785166
2018-09-20 23:30:00.000003,0.180304593667218
2018-09-20 23:44:59.999997,0.2066113605834054
2018-09-21 00:00:00.000000,0.2291080236518975
2018-09-21 00:15:00.000003,0.2473088302404453
2018-09-21 00:29:59.999997,0.2669803585540762
2018-09-21 00:45:00.000000,0.2749815785763934
2018-09-21 01:00:00.000003,0.285009853410134
2018-09-21 01:14:59.999997,0.2821936624888903
2018-09-21 01:30:00.000000,0.2771474268918376
2018-09-21 01:45:00.000003,0.2662193675917322
2018-09-21 01:59:59.999997,0.2525646658255119
