,OBS_127_L0
2018-09-20 00:00:00.000000,0.33
2018-09-20 00:15:00.000003,0.0
2018-09-20 00:29:59.999997,0.0
2018-09-20 00:45:00.000000,0.0
2018-09-20 01:00:00.000003,0.0
2018-09-20 01:14:59.999997,0.0
2018-09-20 01:30:00.000000,0.0
2018-09-20 01:45:00.000003,0.0
2018-09-20 01:59:59.999997,0.0
2018-09-20 02:15:00.000000,0.0
2018-09-20 02:30:00.000003,0.0
2018-09-20 02:44:59.999997,0.0
2018-09-20 03:00:00.000000,0.0
2018-09-20 03:15:00.000003,0.0
2018-09-20 03:29:59.999997,0.0
2018-09-20 03:45:00.000000,0.0
2018-09-20 04:00:00.000003,0.0
2018-09-20 04:14:59.999997,0.0
2018-09-20 04:30:00.000000,0.0
2018-09-20 04:45:00.000003,0.0
2018-09-20 04:59:59.999997,0.0
2018-09-20 05:15:00.000000,0.0
2018-09-20 05:30:00.000003,0.0
2018-09-20 05:44:59.999997,0.0
2018-09-20 06:00:00.000000,0.0
2018-09-20 06:15:00.000003,0.0
2018-09-20 06:29:59.999997,0.0
2018-09-20 06:45:00.000000,0.0
2018-09-20 07:00:00.000003,0.0
2018-09-20 07:14:59.999997,0.0
2018-09-20 07:30:00.000000,0.0
2018-09-20 07:45:00.000003,0.0
2018-09-20 07:59:59.999997,0.0
2018-09-20 08:15:00.000000,0.0
2018-09-20 08:30:00.000003,0.0
2018-09-20 08:44:59.999997,0.0
2018-09-20 09:00:00.000000,0.0
2018-09-20 09:15:00.000003,0.0
2018-09-20 09:29:59.999997,0.0
2018-09-20 09:45:00.000000,0.0
2018-09-20 10:00:00.000003,0.0
2018-09-20 10:14:59.999997,0.0
2018-09-20 10:30:00.000000,0.0
2018-09-20 10:45:00.000003,0.0
2018-09-20 10:59:59.999997,0.0
2018-09-20 11:15:00.000000,0.0
2018-09-20 11:30:00.000003,0.0
2018-09-20 11:44:59.999997,0.0
2018-09-20 12:00:00.000000,0.0
2018-09-20 12:15:00.000003,0.0
2018-09-20 12:29:59.999997,0.0
2018-09-20 12:45:00.000000,0.0
2018-09-20 13:00:00.000003,0.0
2018-09-20 13:14:59.999997,0.0
2018-09-20 13:30:00.000000,0.0
2018-09-20 13:45:00.000003,0.0
2018-09-20 13:59:59.999997,0.0
2018-09-20 14:15:00.000000,0.0
2018-09-20 14:30:00.000003,0.0
2018-09-20 14:44:59.999997,0.0
2018-09-20 15:00:00.000000,0.0
2018-09-20 15:15:00.000003,0.0
2018-09-20 15:29:59.999997,0.0
2018-09-20 15:45:00.000000,0.0
2018-09-20 16:00:00.000003,0.0
2018-09-20 16:14:59.999997,0.0
2018-09-20 16:30:00.000000,0.0
2018-09-20 16:45:00.000003,0.0
2018-09-20 16:59:59.999997,0.0
2018-09-20 17:15:00.000000,0.0
2018-09-20 17:30:00.000003,0.0
2018-09-20 17:44:59.999997,0.0
2018-09-20 18:00:00.000000,0.0
2018-09-20 18:15:00.000003,0.0
2018-09-20 18:29:59.999997,0.0
2018-09-20 18:45:00.000000,0.0
2018-09-20 19:00:00.000003,0.0
2018-09-20 19:14:59.999997,0.0
2018-09-20 19:30:00.000000,0.0
2018-09-20 19:45:00.000003,0.0
2018-09-20 19:59:59.999997,0.0
2018-09-20 20:15:00.000000,0.0
2018-09-20 20:30:00.000003,0.0
2018-09-20 20:44:59.999997,0.0
2018-09-20 21:00:00.000000,0.0
2018-09-20 21:15:00.000003,0.0
2018-09-20 21:29:59.999997,0.0
2018-09-20 21:45:00.000000,0.0
2018-09-20 22:00:00.000003,0.0
2018-09-20 22:14:59.999997,0.0
2018-09-20 22:30:00.000000,0.0
2018-09-20 22:45:00.000003,0.0
2018-09-20 22:59:59.999997,0.0
2018-09-20 23:15:00.000000,0.0
2018-09-20 23:30:00.000003,0.0
2018-09-20 23:44:59.999997,0.0
2018-09-21 00:00:00.000000,0.0
2018-09-21 00:15:00.000003,0.0
2018-09-21 00:29:59.999997,0.0
2018-09-21 00:45:00.000000,0.0
2018-09-21 01:00:00.000003,0.0
2018-09-21 01:14:59.999997,0.0
2018-09-21 01:30:00.000000,0.0
2018-09-21 01:45:00.000003,0.0
2018-09-21 01:59:59.999997,0.0
2018-09-21 02:15:00.000000,0.0
2018-09-21 02:30:00.000003,0.0
2018-09-21 02:44:59.999997,0.0
2018-09-21 03:00:00.000000,0.0
2018-09-21 03:15:00.000003,0.0
2018-09-21 03:29:59.999997,0.0
2018-09-21 03:45:00.000000,0.0
2018-09-21 04:00:00.000003,0.0
2018-09-21 04:14:59.999997,0.0
2018-09-21 04:30:00.000000,0.0
2018-09-21 04:45:00.000003,0.0
2018-09-21 04:59:59.999997,0.0
2018-09-21 05:15:00.000000,0.0
2018-09-21 05:30:00.000003,0.0
2018-09-21 05:44:59.999997,0.0
2018-09-21 06:00:00.000000,0.0
2018-09-21 06:15:00.000003,0.0
2018-09-21 06:29:59.999997,0.0
2018-09-21 06:45:00.000000,0.0
2018-09-21 07:00:00.000003,0.0
2018-09-21 07:14:59.999997,0.0
2018-09-21 07:30:00.000000,0.0
2018-09-21 07:45:00.000003,0.0
2018-09-21 07:59:59.999997,0.0
2018-09-21 08:15:00.000000,0.0
2018-09-21 08:30:00.000003,0.0
2018-09-21 08:44:59.999997,0.0
2018-09-21 09:00:00.000000,0.0
2018-09-21 09:15:00.000003,0.0
2018-09-21 09:29:59.999997,0.0
2018-09-21 09:45:00.000000,0.0
2018-09-21 10:00:00.000003,0.0
2018-09-21 10:14:59.999997,0.0
2018-09-21 10:30:00.000000,0.0
2018-09-21 10:45:00.000003,0.0
2018-09-21 10:59:59.999997,0.0
2018-09-21 11:15:00.000000,0.0
2018-09-21 11:30:00.000003,0.0
2018-09-21 11:44:59.999997,0.0
2018-09-21 12:00:00.000000,0.0
2018-09-21 12:15:00.000003,0.0
2018-09-21 12:29:59.999997,0.0
2018-09-21 12:45:00.000000,0.0
2018-09-21 13:00:00.000003,0.0
2018-09-21 13:14:59.999997,0.0
2018-09-21 13:30:00.000000,0.0
2018-09-21 13:45:00.000003,0.0
2018-09-21 13:59:59.999997,0.0
2018-09-21 14:15:00.000000,0.0
2018-09-21 14:30:00.000003,0.0
2018-09-21 14:44:59.999997,0.0
2018-09-21 15:00:00.000000,0.0
2018-09-21 15:15:00.000003,0.0
2018-09-21 15:29:59.999997,0.0
2018-09-21 15:45:00.000000,0.0
2018-09-21 16:00:00.000003,0.0
2018-09-21 16:14:59.999997,0.0
2018-09-21 16:30:00.000000,0.0
2018-09-21 16:45:00.000003,0.0
2018-09-21 16:59:59.999997,0.0
2018-09-21 17:15:00.000000,0.0
2018-09-21 17:30:00.000003,0.0
2018-09-21 17:44:59.999997,0.0
2018-09-21 18:00:00.000000,0.0
2018-09-21 18:15:00.000003,0.0
2018-09-21 18:29:59.999997,0.0
2018-09-21 18:45:00.000000,0.0
2018-09-21 19:00:00.000003,0.0
2018-09-21 19:14:59.999997,0.0
2018-09-21 19:30:00.000000,0.0
2018-09-21 19:45:00.000003,0.0
2018-09-21 19:59:59.999997,0.0
2018-09-21 20:15:00.000000,0.0
2018-09-21 20:30:00.000003,0.0
2018-09-21 20:44:59.999997,0.0
2018-09-21 21:00:00.000000,0.0
2018-09-21 21:15:00.000003,0.0
2018-09-21 21:29:59.999997,0.0
2018-09-21 21:45:00.000000,0.0
2018-09-21 22:00:00.000003,0.0
2018-09-21 22:14:59.999997,0.0
2018-09-21 22:30:00.000000,0.0
2018-09-21 22:45:00.000003,0.0
2018-09-21 22:59:59.999997,0.0
2018-09-21 23:15:00.000000,0.0
2018-09-21 23:30:00.000003,0.0
2018-09-21 23:44:59.999997,0.0
2018-09-22 00:00:00.000000,0.0
2018-09-22 00:15:00.000003,0.0
2018-09-22 00:29:59.999997,0.0
2018-09-22 00:45:00.000000,0.0
2018-09-22 01:00:00.000003,0.0
2018-09-22 01:14:59.999997,0.0
2018-09-22 01:30:00.000000,0.0
2018-09-22 01:45:00.000003,0.0
2018-09-22 01:59:59.999997,0.0
2018-09-22 02:15:00.000000,0.0
2018-09-22 02:30:00.000003,0.0
2018-09-22 02:44:59.999997,0.0
2018-09-22 03:00:00.000000,0.0
2018-09-22 03:15:00.000003,0.0
2018-09-22 03:29:59.999997,0.0
2018-09-22 03:45:00.000000,0.0
2018-09-22 04:00:00.000003,0.0
2018-09-22 04:14:59.999997,0.0
2018-09-22 04:30:00.000000,0.0
2018-09-22 04:45:00.000003,0.0
2018-09-22 04:59:59.999997,0.0
2018-09-22 05:15:00.000000,0.0
2018-09-22 05:30:00.000003,0.0
2018-09-22 05:44:59.999997,0.0
2018-09-22 06:00:00.000000,0.0
2018-09-22 06:15:00.000003,0.0
2018-09-22 06:29:59.999997,0.0
2018-09-22 06:45:00.000000,0.0
2018-09-22 07:00:00.000003,0.0
2018-09-22 07:14:59.999997,0.0
2018-09-22 07:30:00.000000,0.0
2018-09-22 07:45:00.000003,0.0
2018-09-22 07:59:59.999997,0.0
2018-09-22 08:15:00.000000,0.0
2018-09-22 08:30:00.000003,0.0
2018-09-22 08:44:59.999997,0.0
2018-09-22 09:00:00.000000,0.0
2018-09-22 09:15:00.000003,0.0
2018-09-22 09:29:59.999997,0.0
2018-09-22 09:45:00.000000,0.0
2018-09-22 10:00:00.000003,0.0
2018-09-22 10:14:59.999997,0.0
2018-09-22 10:30:00.000000,0.0
2018-09-22 10:45:00.000003,0.0
2018-09-22 10:59:59.999997,0.0
2018-09-22 11:15:00.000000,0.0
2018-09-22 11:30:00.000003,0.0
2018-09-22 11:44:59.999997,0.0
2018-09-22 12:00:00.000000,0.0
2018-09-22 12:15:00.000003,0.0
2018-09-22 12:29:59.999997,0.0
2018-09-22 12:45:00.000000,0.0
2018-09-22 13:00:00.000003,0.0
2018-09-22 13:14:59.999997,0.0
2018-09-22 13:30:00.000000,0.0
2018-09-22 13:45:00.000003,0.0
2018-09-22 13:59:59.999997,0.0
2018-09-22 14:15:00.000000,0.0
2018-09-22 14:30:00.000003,0.0
2018-09-22 14:44:59.999997,0.0
2018-09-22 15:00:00.000000,0.0
2018-09-22 15:15:00.000003,0.0
2018-09-22 15:29:59.999997,0.0
2018-09-22 15:45:00.000000,0.0
2018-09-22 16:00:00.000003,0.0
2018-09-22 16:14:59.999997,0.0
2018-09-22 16:30:00.000000,0.0
2018-09-22 16:45:00.000003,0.0
2018-09-22 16:59:59.999997,0.0
2018-09-22 17:15:00.000000,0.0
2018-09-22 17:30:00.000003,0.0
2018-09-22 17:44:59.999997,0.0
2018-09-22 18:00:00.000000,0.0
2018-09-22 18:15:00.000003,0.0
2018-09-22 18:29:59.999997,0.0
2018-09-22 18:45:00.000000,0.0
2018-09-22 19:00:00.000003,0.0
2018-09-22 19:14:59.999997,0.0
2018-09-22 19:30:00.000000,0.0
2018-09-22 19:45:00.000003,0.0
2018-09-22 19:59:59.999997,0.0
2018-09-22 20:15:00.000000,0.0
2018-09-22 20:30:00.000003,0.0
2018-09-22 20:44:59.999997,0.0
2018-09-22 21:00:00.000000,0.0
2018-09-22 21:15:00.000003,0.0
2018-09-22 21:29:59.999997,0.0
2018-09-22 21:45:00.000000,0.0
2018-09-22 22:00:00.000003,0.0
2018-09-22 22:14:59.999997,0.0
2018-09-22 22:30:00.000000,0.0
2018-09-22 22:45:00.000003,0.0
2018-09-22 22:59:59.999997,0.0
2018-09-22 23:15:00.000000,0.0
2018-09-22 23:30:00.000003,0.0
2018-09-22 23:44:59.999997,0.0
2018-09-23 00:00:00.000000,0.0
2018-09-23 00:15:00.000003,0.0
2018-09-23 00:29:59.999997,0.0
2018-09-23 00:45:00.000000,0.0
2018-09-23 01:00:00.000003,0.0
2018-09-23 01:14:59.999997,0.0
2018-09-23 01:30:00.000000,0.0
2018-09-23 01:45:00.000003,0.0
2018-09-23 01:59:59.999997,0.0
2018-09-23 02:15:00.000000,0.0
2018-09-23 02:30:00.000003,0.0
2018-09-23 02:44:59.999997,0.0
2018-09-23 03:00:00.000000,0.0
2018-09-23 03:15:00.000003,0.0
2018-09-23 03:29:59.999997,0.0
2018-09-23 03:45:00.000000,0.0
2018-09-23 04:00:00.000003,0.0
2018-09-23 04:14:59.999997,0.0
2018-09-23 04:30:00.000000,0.0
2018-09-23 04:45:00.000003,0.0
2018-09-23 04:59:59.999997,0.0
2018-09-23 05:15:00.000000,0.0
2018-09-23 05:30:00.000003,0.0
